DateTime,Depth,Temp
2004-05-25,0.5,14.8
2004-05-25,1,14.7
2004-05-25,2,14.6
2004-05-25,3,14.5
2004-05-25,4,14.5
2004-05-25,5,14.5
2004-05-25,6,14.5
2004-05-25,7,14.5
2004-05-25,8,12
2004-05-25,9,10.5
2004-05-25,10,9.7
2004-05-25,11,9.3
2004-05-25,12,9.1
2004-05-25,13,8.9
2004-05-25,14,8.6
2004-05-25,15,8.3
2004-05-25,16,8.1
2004-05-25,17,8
2004-05-25,18,8
2004-05-25,19,8
2004-05-25,20,8
2004-05-25,21,8
2004-05-25,22,7.8
2004-05-25,23,7.8
2004-05-25,24,7.7
2004-05-25,25,7.7
2004-05-25,26,7.6
2004-05-25,27,7.6
2004-05-25,28,7.6
2004-05-25,29,7.6
2004-06-21,0.5,18.8
2004-06-21,1,18.8
2004-06-21,2,18.8
2004-06-21,3,18.8
2004-06-21,4,18.6
2004-06-21,5,18.5
2004-06-21,6,17.3
2004-06-21,7,16.2
2004-06-21,8,14.5
2004-06-21,9,14
2004-06-21,10,13.2
2004-06-21,11,11.9
2004-06-21,12,10.8
2004-06-21,13,10.5
2004-06-21,14,9.8
2004-06-21,15,9.4
2004-06-21,16,9
2004-06-21,17,9.2
2004-06-21,18,8.9
2004-06-21,19,8.7
2004-06-21,20,8.7
2004-06-21,21,8.6
2004-06-21,22,8.6
2004-07-26,0.5,22.6
2004-07-26,1,22.6
2004-07-26,2,22.6
2004-07-26,3,22.6
2004-07-26,4,22.6
2004-07-26,5,22.6
2004-07-26,6,22.3
2004-07-26,7,20
2004-07-26,8,19.2
2004-07-26,9,17.7
2004-07-26,10,15.2
2004-07-26,11,12.9
2004-07-26,12,11.8
2004-07-26,13,11.1
2004-07-26,14,10.6
2004-07-26,15,10.2
2004-07-26,16,9.8
2004-07-26,17,9.6
2004-07-26,18,9.4
2004-07-26,19,9.3
2004-07-26,20,9
2004-07-26,21,9
2004-07-26,22,8.8
2004-07-26,23,8.7
2004-07-26,24,8.7
2004-07-26,25,8.7
2004-07-26,26,8.5
2004-07-26,27,8.5
2004-07-26,28,8.4
2004-08-23,0.5,21.5
2004-08-23,1,21.5
2004-08-23,2,21.6
2004-08-23,3,21.6
2004-08-23,4,21.6
2004-08-23,5,21.6
